0,1,2
a,2349,38
a's,10,4
abhorrent,2,2
abilities,2,2
ability,3,3
able,49,15
abortion,6,5
about,411,87
above,6,2
abrupt,1,1
abruptly,1,1
absence,1,1
absentee,4,2
absolutely,8,8
absorb,1,1
absorbs,1,1
abstract,2,2
abuse,3,2
abused,1,1
academically,1,1
academies,1,1
academy,6,5
accent,2,1
accents,1,1
accept,4,4
acceptable,1,1
acceptance,1,1
accepted,2,2
accepting,1,1
access,2,2
accident,3,3
accidental,2,2
accidentally,2,2
accomplish,2,1
accomplished,1,1
accordance,1,1
according,2,2
account,2,2
accountable,1,1
accounting,6,6
accounts,1,1
accumulated,2,2
accurate,2,1
accurately,1,1
ache,1,1
achievement,3,2
acquainted,1,1
acre,1,1
acres,3,1
across,27,8
act,7,3
acted,1,1
acting,5,3
action,7,4
activate,1,1
active,13,3
actively,1,1
activism,1,1
activist,1,1
activists,1,1
activities,2,1
activity,4,2
actors,1,1
actual,7,7
actually,87,22
ad,2,1
adam,1,1
add,2,2
added,4,4
addict,1,1
addicted,1,1
addicting,1,1
addictions,1,1
addicts,3,3
adding,2,2
addition,2,2
additional,2,2
address,1,1
addressed,1,1
adds,2,1
adequate,5,4
aderal,1,1
adge,1,1
adjacent,1,1
adjoining,1,1
adjust,3,1
adjusted,2,1
adjusting,3,2
adjustment,2,2
adjusts,1,1
administration,1,1
administrative,3,3
administrator,3,3
admire,3,2
admired,2,2
admit,3,3
adolescent,1,1
adopt,1,1
adopted,4,3
adopting,1,1
adoption,4,2
adorable,1,1
adored,1,1
ads,1,1
adult,2,2
adulthood,1,1
adults,7,3
advance,2,2
advantage,4,4
advantages,2,2
adventure,1,1
advertise,2,1
advertisement,1,1
advertisements,2,2
advertising,1,1
advocate,2,2
advocating,1,1
affect,3,2
affected,2,1
affects,4,3
affirmative,1,1
afford,7,5
affordable,1,1
afraid,5,2
africa,4,4
african,1,1
after,77,20
aftermath,1,1
afternoon,6,4
afterward,1,1
afterwards,3,3
again,38,14
against,30,13
age,39,5
aged,1,1
agency,3,3
agents,1,1
ages,1,1
aggravate,1,1
aggravated,1,1
aggravating,2,2
aging,1,1
ago,45,9
agree,7,3
agreed,1,1
agreeing,2,2
agreement,2,2
agricultural,3,3
agriculturally,1,1
ah,21,3
aha,1,1
ahead,10,3
aid,3,1
aids,6,2
aim,1,1
ain't,3,3
air,11,1
airforce,4,1
airline,3,1
airliners,1,1
airlines,2,1
airplane,9,6
airplanes,16,4
airport,9,6
airports,2,1
akron,1,1
alarm,3,2
alaska,2,1
albany,1,1
alcohol,3,3
alcoholics,2,2
alcoholism,1,1
alexander,1,1
algebra,2,2
alien,1,1
alive,1,1
all,498,15
alley,1,1
allow,1,1
allowed,8,6
allows,1,1
almost,30,14
alone,1,1
along,19,6
already,28,21
alright,6,5
also,61,12
alternate,1,1
alternative,6,6
although,12,5
altitude,2,2
aluminum,1,1
always,118,39
am,32,9
am-ing,1,1
amazing,6,4
ambience,1,1
ambition,1,1
ambulance,1,1
amend,1,1
america,8,4
america's,1,1
american,6,6
american's,1,1
americans,4,3
ameritech,1,1
ames,1,1
amherst,1,1
ammunition,2,2
among,4,2
amongst,1,1
amount,8,4
amounts,1,1
amsterdam,1,1
amy,1,1
amy's,1,1
an,189,20
analogy,1,1
analyst,1,1
analyzed,1,1
ancient,1,1
and,4498,142
and ,1,1
angel,1,1
angela's,1,1
angels,1,1
anger,3,1
angering,1,1
angle,1,1
angry,1,1
animal,8,3
animals,1,1
ann,1,1
annexed,1,1
annoying,1,1
annual,1,1
anonymous,1,1
another,76,18
answer,23,7
answering,4,4
answers,7,4
anthony,1,1
anti,1,1
any,109,16
anybody,25,18
anybody's,3,3
anyhow,2,2
anymore,31,12
anyone,8,5
anything,96,37
anything's,1,1
anytime,1,1
anyway,36,17
anyways,2,2
anywhere,8,6
anzio,4,2
apart,5,3
apartment,6,6
apartments,4,4
apiece,1,1
apologetics,2,2
apologies,1,1
apologize,2,2
apostolic,1,1
appalachia,1,1
appalling,1,1
apparently,6,6
appeal,9,5
appeals,1,1
appearances,1,1
appeared,1,1
appetite,1,1
apple,1,1
applications,1,1
applied,1,1
applies,2,2
apply,4,1
appoint,1,1
appreciable,1,1
appreciate,2,1
appreciated,1,1
appreciates,1,1
apprehensive,1,1
apprentice,1,1
apprentices,1,1
apprenticeship,2,1
approach,3,2
approachable,1,1
appropriate,2,2
approval,2,1
approved,1,1
approximately,1,1
arbitration,1,1
arbitrator,1,1
archie,3,2
are,383,27
area,59,12
areas,5,4
aren't,25,15
arenas,1,1
argue,3,1
argument,2,2
arguments,1,1
arizona,1,1
arms,1,1
army,8,3
arnold,1,1
aroma,1,1
around,112,44
arrest,2,1
arrested,1,1
arrogance,1,1
art,3,1
arthritis,1,1
article,2,2
articles,3,3
artillery,6,4
artist,2,2
arts,7,1
as,330,23
ashland,23,10
aside,7,4
ask,19,2
asked,6,3
asking,8,5
asks,4,2
asleep,1,1
aspect,1,1
aspects,1,1
ass,8,1
assembly,1,1
asses,1,1
asset,2,2
asshole,1,1
assigned,1,1
assignments,1,1
assist,1,1
assistant,4,3
assistants,2,2
associate,2,2
associated,2,2
association,5,5
assume,2,1
at,434,37
ate,1,1
athens,4,3
atlanta,7,6
atmosphere,2,2
atone,2,1
attached,2,2
attack,3,3
attempt,1,1
attend,6,2
attendance,1,1
attended,2,2
attention,13,9
attentive,1,1
attitude,7,3
attitudes,1,1
attorney,10,10
attorneys,3,3
attracted,1,1
attraction,1,1
attractive,3,2
attributes,1,1
auction,1,1
audience,1,1
auditorially,1,1
august,4,4
aunt,6,3
aunts,1,1
australia,2,2
authority,1,1
auto,1,1
automatically,4,3
available,4,3
avenue,6,5
avenues,1,1
average,5,2
avoid,6,2
avoiding,1,1
aw,2,1
award,5,1
aware,4,1
away,59,5
awe,1,1
awful,1,1
awhile,2,2
awkward,1,1
b,9,1
b's,4,2
babies,2,1
baby,32,5
babysit,2,2
babysits,1,1
babysitter,4,2
babysitters,2,1
bachelor,1,1
bachelors,3,3
back,200,10
backed,1,1
background,5,2
backlash,1,1
backpack,1,1
backward,1,1
backwards,1,1
bad,78,10
badder,1,1
badge,1,1
badly,3,1
bag,6,1
baggy,1,1
bags,5,2
baked,1,1
baking,2,1
balance,2,1
balanced,1,1
balances,1,1
ball,2,1
ballot,2,2
ballplayer,1,1
balsamic,1,1
band,3,3
bang,2,1
banging,1,1
bank,12,4
baptism,2,2
baptist,2,2
baptists,1,1
bar,4,2
barber,1,1
barely,3,1
bargain,3,1
bargained,1,1
bargains,1,1
barn,3,2
barracks,1,1
barrier,1,1
bartering,1,1
base,4,1
baseball,4,2
based,9,3
baseline,1,1
basement,2,2
bashing,1,1
basic,3,1
basically,39,13
basil,1,1
basis,6,3
basket,1,1
basketball,5,5
bassinet,1,1
bat,1,1
bath,1,1
bathing,1,1
bathroom,4,3
bathroom's,1,1
bathrooms,1,1
bathtub,1,1
battery,3,2
battle,5,4
battles,2,1
battleship,2,2
bay,1,1
be,469,10
beach,1,1
beachhead,1,1
bean,1,1
bear,2,2
beard,1,1
bearing,2,2
bears,1,1
beast,2,1
beat,6,4
beating,2,2
beattys,1,1
beautiful,11,4
beauty,3,2
beaver,1,1
became,10,2
because,574,76
become,16,5
becomes,3,2
bed,13,4
bedroom,2,1
bee,1,1
beef,1,1
been,212,31
beer,6,2
beethoven,2,1
before,64,15
began,1,1
beggars,1,1
begin,7,2
beginning,7,3
begins,2,1
behave,2,1
behavior,4,1
behemoth,1,1
behind,9,6
being,71,14
beings,1,1
belgium,5,3
belief,1,1
beliefs,3,3
believe,59,15
believed,1,1
believer,2,2
believes,7,1
believing,6,6
bell,3,1
belligerent,1,1
belong,1,1
below,2,1
belt,1,1
benefit,3,3
benefits,1,1
berlin,1,1
bernice,6,4
bernie,1,1
berth,1,1
beside,5,5
besides,2,1
best,37,4
bet,14,3
beth's,1,1
bethel,2,1
betrayal,1,1
betrayed,2,1
bets,1,1
better,94,13
betty,3,1
between,22,9
beulah,1,1
beverly,1,1
beyond,4,2
biased,1,1
bible,6,5
bibles,1,1
bibliography,1,1
bidding,2,1
big,99,7
bigger,6,2
biggest,9,6
bigoted,1,1
bike,1,1
bikes,1,1
bill,5,2
billing,1,1
bills,2,1
bing,2,1
bingo,1,1
bipolar,2,1
biracial,1,1
birth,4,2
birthday,5,4
bit,55,13
bitch,2,1
bitching,3,3
bite,1,1
black,19,2
blackout,1,1
blacks,5,1
blah,21,6
blame,4,1
blank,2,2
bleeding,1,1
blessing,3,3
blew,2,1
blind,1,1
blindness,2,1
block,5,2
blocks,5,1
blond,1,1
bloody,1,1
blouse,1,1
blow,1,1
blowed,1,1
blowing,1,1
blows,1,1
blue,3,1
board,11,3
boards,1,1
boat,3,3
boatload,1,1
bob,1,1
bodies,2,2
body,9,3
boils,1,1
bomb,2,1
bombs,1,1
bonding,1,1
bono,1,1
book,20,1
bookcase,1,1
booklet,1,1
books,13,1
bookstore,2,1
boom,3,1
boon,1,1
boone,1,1
borden,1,1
border,1,1
borderline,1,1
bored,1,1
boring,10,6
born,17,5
borrow,1,1
boss,1,1
both,44,6
bother,9,3
bothered,1,1
bothering,4,4
bothers,1,1
bottle,7,5
bottles,1,1
bottom,5,2
bottoms,1,1
bought,19,8
boulevard,1,1
bouncing,1,1
bound,1,1
bout,1,1
bowl,3,2
bowled,1,1
box,6,1
boxes,2,2
boy,24,3
boyfriend,3,3
boyfriend's,2,1
boyfriends,1,1
boys,30,4
bracelets,1,1
braces,2,2
bradley,5,1
bradley's,1,1
brady,1,1
brain,11,4
brain's,1,1
brainer,1,1
brains,2,2
branch,2,2
brand,11,2
brave,1,1
bread,6,2
break,5,1
breakfast,4,4
breaking,7,4
breaks,2,1
breast,6,3
breath,1,1
breathing,2,2
breed,1,1
brethren,1,1
bribes,1,1
bright,4,2
brilliant,2,2
bring,13,4
bringing,3,3
brings,1,1
brink,1,1
broad,4,2
broadway,2,2
broke,6,3
broken,4,3
brookhaven,2,2
brother,18,3
brothers,5,2
brought,9,4
brown,5,1
browse,1,1
bruge,4,1
brush,1,1
buckeye,1,1
bucks,14,1
budapest,2,2
bug,1,1
build,7,3
building,10,6
buildings,4,4
built,5,4
bullshit,2,2
bum,1,1
bumper,1,1
bums,3,2
bunch,13,5
bunches,3,2
bunker,2,1
burden,1,1
bureau,2,2
bureaucracy,1,1
burn,6,2
burned,8,3
burning,1,1
burst,1,1
bus,8,1
busiest,1,1
business,32,10
businesses,2,2
businessman,2,2
busing,1,1
busted,3,3
busy,13,2
but,1062,64
butt,2,2
butter,3,1
butterball,1,1
buy,24,2
buying,2,1
by,123,8
bye,5,2
byrd,1,1
c,22,2
c's,4,1
cab,4,4
cabinets,3,3
cactus,1,1
cad,2,2
cage,1,1
cahoots,1,1
cahs,3,2
cake,4,1
cakes,2,1
calculate,1,1
calculating,1,1
calculus,1,1
calendar,2,2
caliber,1,1
california,7,6
call,52,4
called,38,12
calling,5,4
calls,5,2
calm,8,2
came,57,6
camera,1,1
cameras,1,1
camp,1,1
campaign,27,4
campaigns,7,1
campus,13,6
can,258,42
can't,153,36
canada,1,1
canadians,1,1
cancelled,1,1
cancun,1,1
candidate,12,11
candidates,3,3
candy,3,2
canned,1,1
cannot,3,3
canvas,1,1
capable,2,2
capita,2,2
capital,2,1
capitalism,3,2
capitalists,1,1
captain,1,1
captain's,1,1
captivity,1,1
capture,1,1
car,38,3
card,10,6
cards,6,3
care,44,4
career,4,2
careful,4,3
carefully,4,2
cares,3,1
carl,1,1
carmel,1,1
carol,1,1
carpentry,1,1
carried,1,1
carry,5,1
carrying,4,3
cars,11,4
carson,1,1
cart,1,1
carter,1,1
cartoon,1,1
cartoons,3,1
carwash,1,1
case,15,3
cash,2,1
casinos,2,2
cataract,1,1
catch,13,3
category,3,3
catholic,16,6
catholics,1,1
cats,1,1
caught,10,4
cause,14,7
causing,2,2
cave,1,1
cd,2,2
ceilings,1,1
celebrate,1,1
cell,1,1
cent,2,2
center,21,5
centered,1,1
centers,1,1
central,2,2
centralize,1,1
centralized,2,2
centrally,1,1
centrist,1,1
cents,9,3
centuries,1,1
century,1,1
cerebral,1,1
certain,31,6
certainly,5,3
certificate,4,3
certified,2,2
cesareans,1,1
chain,1,1
chair,6,1
chairs,2,1
chalk,1,1
challenge,2,2
challenges,1,1
challenging,3,2
chance,6,1
chances,1,1
change,39,2
changed,14,8
changes,6,3
changing,9,5
chapter,3,3
character,3,2
characteristics,1,1
characters,2,2
charge,5,1
charges,1,1
charging,1,1
charisma,3,2
charismatic,6,5
charitable,3,3
charity,1,1
chart,3,2
charter,1,1
chaser,1,1
chat,1,1
cheap,3,1
cheaper,2,1
cheapest,1,1
cheapskate,3,3
cheat,5,3
cheated,2,1
cheater,2,2
cheating,2,2
cheats,1,1
check,13,1
check-up,1,1
checked,2,2
checker,1,1
checking,1,1
checks,4,1
cheeks,1,1
cheer,1,1
cheese,4,1
chemical,6,5
cher,1,1
cherry,1,1
chest,1,1
chew,2,2
chewing,2,2
chic,1,1
chicago,1,1
chicken,2,2
chicks,1,1
chief,6,1
chief's,2,2
child,40,13
child's,2,2
childhood,3,3
childish,2,2
children,54,23
children's,2,2
chili,1,1
chill,5,1
chilled,2,1
chin,2,1
china,1,1
chinese,2,1
chip,1,1
chipped,3,2
chives,1,1
chocolatey,1,1
choice,7,1
choices,3,3
cholesterol,1,1
choose,4,2
chops,2,1
chose,2,1
chosen,1,1
christ,6,2
christian,17,10
christian's,1,1
christianity,3,3
christians,3,2
christmas,11,6
christopher,1,1
church,43,5
churches,7,3
churchill,1,1
cigarettes,3,3
cincinnati,3,3
circle,2,2
cirrus,1,1
cities,7,3
citizenry,2,2
citizens,3,2
citizenship,2,1
city,30,5
city's,1,1
civil,7,7
claim,4,2
claimed,1,1
claims,1,1
clarity,1,1
class,43,4
classes,28,7
classroom,3,3
classrooms,2,2
clause,1,1
clean,9,3
cleaner,1,1
cleaners,2,1
cleaning,1,1
clear,3,2
clearance,1,1
clearances,1,1
cleared,1,1
clearing,1,1
clearinghouse,1,1
clearly,3,2
cleveland,4,2
climbing,1,1
clinic,1,1
clinton,15,6
clinton's,1,1
clintonville,3,3
clock,1,1
close,14,5
closer,6,4
closest,2,2
closet,2,2
clothes,9,1
cloud,2,2
clown,3,1
club,5,2
clubbing,2,2
clubs,4,3
clue,3,1
clues,1,1
clump,1,1
coach,7,1
coaches,1,1
coaching,1,1
coast,1,1
coasting,1,1
coated,2,2
coca,1,1
cocaine,1,1
coemployees,1,1
coerced,1,1
coffee,6,2
coin,1,1
coke,1,1
cola,1,1
cold,4,2
coldness,1,1
coleman,7,4
colic,1,1
colin,1,1
colin's,1,1
collar,2,2
collection,4,2
collectively,1,1
collector,1,1
college,57,14
colleges,2,2
colliding,1,1
color,3,2
colorado,5,3
colors,2,1
columbine,1,1
columbus,110,22
comb,1,1
combination,2,2
combines,1,1
come,127,10
comedies,1,1
comes,27,5
comfest,1,1
comfort,2,2
comfortable,12,11
coming,34,12
command,1,1
commercial,1,1
commercials,3,3
commission,1,1
commissioner,2,2
commit,2,2
committed,1,1
committee,1,1
committees,1,1
commodore,1,1
common,5,4
communicate,2,2
communication,7,7
communications,8,7
communion,1,1
communism,2,1
communities,1,1
community,30,19
como,1,1
company,8,4
company's,1,1
comparable,1,1
compare,2,2
compared,6,4
comparing,2,1
compassionate,5,5
competition,1,1
competitive,1,1
complain,3,2
complete,1,1
completed,1,1
completely,1,1
completion,1,1
complex,1,1
complications,1,1
comprehend,1,1
comprehension,1,1
compromise,1,1
compulsively,1,1
computer,32,17
computers,14,7
conceive,2,2
concentrate,2,2
concepts,2,1
concern,1,1
concerned,8,6
concerted,1,1
conclusion,2,2
concrete,8,3
condition,1,1
conditions,3,3
condom,3,3
condoms,3,2
cone,2,2
conference,1,1
conferences,2,2
confidential,1,1
confirmation,1,1
confused,1,1
confusing,2,2
congenial,1,1
congestion,1,1
congregation,1,1
congress,3,1
congressmen,1,1
connected,1,1
connecting,1,1
connection,1,1
conscience,3,3
conscientious,4,3
consciousness,1,1
consecration,1,1
consent,1,1
consenting,2,1
consequence,2,1
consequently,4,4
conservative,6,5
conservatives,1,1
conservativism,1,1
conservatory,1,1
consider,2,2
consideration,3,3
consist,1,1
constant,1,1
construction,7,6
consultant,2,2
contact,3,2
contacted,1,1
contacts,1,1
contender,1,1
content,4,3
context,1,1
continent,1,1
continuance,1,1
continue,8,7
continued,3,3
continuously,2,2
contract,2,2
contracted,1,1
contractor,3,1
contractors,1,1
contracts,1,1
contrary,1,1
contribute,1,1
control,16,10
controlled,2,2
controller,4,2
controls,1,1
controversy,1,1
convenience,2,2
convention,2,2
conventional,1,1
conversation,8,8
conversational,1,1
conversations,1,1
convict,2,2
convicted,1,1
convictions,1,1
convince,2,2
cook,9,1
cookbook,1,1
cooking,5,4
cool,19,5
cooper,1,1
cooper's,1,1
cooperate,1,1
cooperative,1,1
cooperatively,1,1
cop,7,2
cope,1,1
copies,1,1
coping,1,1
copped,1,1
cops,1,1
copy,16,1
coral,1,1
corby,1,1
corinthians,1,1
corn,2,1
corner,3,3
corners,1,1
corporate,2,2
corporation,2,2
corporations,1,1
correct,5,3
corrected,1,1
correctly,1,1
corrupt,2,2
corruption,1,1
cosi,2,1
cosmetic,2,1
cost,6,5
costs,2,2
couch,2,1
couches,3,2
could,139,30
could've,9,6
couldn't,40,22
counseling,5,5
counselor,2,2
count,8,3
counter,2,2
countries,5,2
country,30,8
country's,2,1
counts,2,1
county,16,4
couple,69,11
coupon,4,2
coupons,2,2
courage,1,1
courier,5,3
course,36,6
courses,3,2
court,8,3
courthouse,1,1
cousin,3,1
cousins,3,3
cover,3,2
coverage,1,1
covered,1,1
cow,2,1
cowboy,1,1
cowboys,1,1
cows,2,1
cowtown,1,1
cozy,3,1
crack,1,1
cracks,2,1
crafts,1,1
crap,11,1
crawling,1,1
crazy,13,4
cream,1,1
create,1,1
creative,5,4
credit,6,3
credits,1,1
creepy,1,1
crew,3,1
crib,2,2
cried,2,2
cries,1,1
crime,9,1
crimes,3,3
criminal,2,2
criminalized,1,1
criminals,5,4
crisscrossed,1,1
critiquing,1,1
crocheting,1,1
crocker,1,1
crop,1,1
crops,1,1
crosby,1,1
cross,7,2
crossed,4,2
crotch,1,1
crowd,1,1
crowded,1,1
cruiser,1,1
crummy,2,1
crust,1,1
cry,2,1
crying,7,5
crystal,2,2
cub,1,1
cubed,1,1
cucumber,1,1
cuddling,1,1
cuisine,1,1
culture,3,1
cumulonimbus,1,1
cup,1,1
cure,1,1
curious,1,1
current,4,3
currently,1,1
curriculum,2,2
cursing,2,2
cuss,1,1
custodian,1,1
cut,15,4
cute,4,2
cutting,6,4
cycle,2,2
czech,1,1
d,46,4
d's,7,2
da,2,2
dab,2,1
dad,54,6
dad's,11,3
daddy,1,1
daddy's,2,1
daily,2,1
dakota,1,1
dallas,2,1
damage,5,4
damn,5,3
dan,1,1
dance,4,2
danced,1,1
dancers,1,1
dancing,2,2
dandy,1,1
dangerous,2,2
dare,1,1
dark,1,1
darling,3,2
darn,3,3
data,2,1
date,9,2
dated,5,4
dating,8,6
daughter,27,6
daughter's,4,1
daughters,7,3
dawn,2,1
day,116,4
daycare,6,1
daydreaming,1,1
daylight,2,2
days,25,3
dayton,4,3
dead,7,3
deads,1,1
deafness,2,1
deal,20,7
dealer,4,2
dealing,5,3
deals,1,1
dear,2,2
dearly,1,1
death,6,1
december,3,2
decent,5,2
decide,4,3
decided,20,13
decision,8,6
decisions,4,4
decisive,1,1
deck,2,1
decline,2,2
declining,1,1
decoration,1,1
decrease,1,1
deep,8,1
deer,1,1
defeat,1,1
defeated,1,1
defensive,1,1
deficit,3,2
deficits,1,1
define,1,1
defined,1,1
definite,4,4
definitely,15,14
definition,1,1
definitively,1,1
degree,10,4
degrees,1,1
delaware,4,2
delayed,1,1
delays,1,1
delegated,1,1
delete,1,1
deletes,1,1
delineated,1,1
deliver,1,1
delivered,1,1
delivery,1,1
demand,3,2
demanding,1,1
democracy,4,2
democrat,11,4
democratic,6,6
democrats,1,1
demons,1,1
demystifying,1,1
denephew,1,1
denial,1,1
denise,1,1
denomination,4,4
denominational,1,1
denominations,4,4
dentist,1,1
dentists,2,2
deny,1,1
departing,1,1
department,5,5
depending,3,3
depends,2,2
depoprovera,1,1
deported,1,1
deposit,1,1
depressed,1,1
depression,3,3
depth,1,1
desalles,2,2
describe,1,1
described,1,1
description,1,1
desegregate,1,1
desert,1,1
deserve,5,4
design,2,2
designated,3,2
designed,4,2
designer,1,1
desirable,1,1
desires,1,1
desk,6,2
destroy,1,1
destroyed,2,2
destroying,1,1
destruction,1,1
detail,2,2
details,1,1
detectors,1,1
determine,1,1
develop,1,1
developed,5,4
developers,2,2
developmental,1,1
developments,1,1
develops,1,1
deviate,1,1
deviates,1,1
devil,1,1
devil's,1,1
devon,4,2
devout,1,1
dexadrine,1,1
diagnosed,1,1
dial,1,1
dialogue,1,1
diametric,1,1
diametrically,2,2
diamond,1,1
diaper,2,1
diapers,1,1
did,198,22
didn't,226,59
die,4,1
died,5,2
diehard,1,1
dies,1,1
diet,3,2
difference,20,8
differences,2,2
different,85,31
differently,5,4
difficult,10,4
digest,3,2
digress,1,1
dime,2,1
dimensional,3,3
ding,7,5
dining,2,2
dinner,7,3
dinners,1,1
dip,1,1
diploma,3,2
direct,2,2
